NAME	# MATCHING PROBE SETS	MATCHING PROBE SET(S)	
LMBRD1	1	LMBRD1	
CLN3	1	CLN3	
CHPT1	1	CHPT1	
MBTPS2	1	MBTPS2	
RXFP4	1	RXFP4	
RXFP2	1	RXFP2	
RXFP3	1	RXFP3	
LPCAT3	1	LPCAT3	
SLC37A2	1	SLC37A2	
SLC37A1	1	SLC37A1	
LMBR1L	1	LMBR1L	
SLC37A3	1	SLC37A3	
SLC24A4	1	SLC24A4	
UNC93B1	1	UNC93B1	
TPCN2	1	TPCN2	
SLC24A5	1	SLC24A5	
SLC6A19	1	SLC6A19	
SLC6A18	1	SLC6A18	
SLC6A17	1	SLC6A17	
SLC6A16	1	SLC6A16	
SLC11A1	1	SLC11A1	
SLC6A15	1	SLC6A15	
SLC6A14	1	SLC6A14	
SLC11A2	1	SLC11A2	
SLC6A13	1	SLC6A13	
SLC6A12	1	SLC6A12	
SLC6A11	1	SLC6A11	
PLPP6	1	PLPP6	
SLC6A20	1	SLC6A20	
PTDSS2	1	PTDSS2	
PTDSS1	1	PTDSS1	
NTSR1	1	NTSR1	
NTSR2	1	NTSR2	
NMBR	1	NMBR	
ADRB3	1	ADRB3	
ADRB2	1	ADRB2	
OPN4	1	OPN4	
OPN3	1	OPN3	
BDKRB2	1	BDKRB2	
PTGIR	1	PTGIR	
S1PR1	1	S1PR1	
S1PR3	1	S1PR3	
S1PR5	1	S1PR5	
S1PR4	1	S1PR4	
SGPP2	1	SGPP2	
SGPP1	1	SGPP1	
AGMO	1	AGMO	
CLPTM1L	1	CLPTM1L	
SLC41A2	1	SLC41A2	
SLC41A3	1	SLC41A3	
SLC41A1	1	SLC41A1	
CNR1	1	CNR1	
XKRX	1	XKRX	
XKR8	1	XKR8	
XKR7	1	XKR7	
XKR4	1	XKR4	
XKR3	1	XKR3	
XKR6	1	XKR6	
SLC26A11	1	SLC26A11	
SLC26A10	1	SLC26A10	
DRD1	1	DRD1	
DRD3	1	DRD3	
DRD4	1	DRD4	
DRD5	1	DRD5	
MLC1	1	MLC1	
ZDHHC13	1	ZDHHC13	
ZDHHC11	1	ZDHHC11	
ZDHHC16	1	ZDHHC16	
ZDHHC17	1	ZDHHC17	
ZDHHC15	1	ZDHHC15	
ZDHHC20	1	ZDHHC20	
GDPD2	1	GDPD2	
GDPD4	1	GDPD4	
KISS1R	1	KISS1R	
OTOP1	1	OTOP1	
OTOP2	1	OTOP2	
OTOP3	1	OTOP3	
COQ2	1	COQ2	
MLNR	1	MLNR	
SLC40A1	1	SLC40A1	
MFSD8	1	MFSD8	
MFSD9	1	MFSD9	
MFSD5	1	MFSD5	
MFSD1	1	MFSD1	
HGSNAT	1	HGSNAT	
HACD3	1	HACD3	
NOX3	1	NOX3	
FLVCR1	1	FLVCR1	
FLVCR2	1	FLVCR2	
ZDHHC6	1	ZDHHC6	
ZDHHC2	1	ZDHHC2	
ZDHHC4	1	ZDHHC4	
TMEM87A	1	TMEM87A	
TMEM87B	1	TMEM87B	
SLC52A2	1	SLC52A2	
SLC52A3	1	SLC52A3	
SEC61A2	1	SEC61A2	
SEC61A1	1	SEC61A1	
FZD7	1	FZD7	
FZD9	1	FZD9	
ZDHHC11B	1	ZDHHC11B	
SPNS3	1	SPNS3	
SPNS2	1	SPNS2	
SPNS1	1	SPNS1	
MFSD13A	1	MFSD13A	
MFSD14A	1	MFSD14A	
MFSD14B	1	MFSD14B	
NPFFR2	1	NPFFR2	
ALG8	1	ALG8	
ALG9	1	ALG9	
ALG6	1	ALG6	
KCNK12	1	KCNK12	
KCNK13	1	KCNK13	
ALG3	1	ALG3	
KCNK17	1	KCNK17	
KCNK18	1	KCNK18	
SLC45A2	1	SLC45A2	
ADCYAP1R1	1	ADCYAP1R1	
SLC45A3	1	SLC45A3	
SLC32A1	1	SLC32A1	
CHRNA10	1	CHRNA10	
ADGRG5	1	ADGRG5	
GABRB3	1	GABRB3	
GABRB2	1	GABRB2	
NEMP2	1	NEMP2	
NEMP1	1	NEMP1	
LMF2	1	LMF2	
LMF1	1	LMF1	
SLC44A5	1	SLC44A5	
SLC44A3	1	SLC44A3	
SLC44A4	1	SLC44A4	
SLC44A1	1	SLC44A1	
SLC44A2	1	SLC44A2	
SPPL3	1	SPPL3	
GABRR2	1	GABRR2	
PTGER1	1	PTGER1	
PTGER2	1	PTGER2	
PTGER3	1	PTGER3	
CHRNA3	1	CHRNA3	
CHRNA2	1	CHRNA2	
CHRNA7	1	CHRNA7	
CHRNA6	1	CHRNA6	
TMEM8B	1	TMEM8B	
TMEM82	1	TMEM82	
TTYH3	1	TTYH3	
TTYH2	1	TTYH2	
TTYH1	1	TTYH1	
CLCNKB	1	CLCNKB	
CLCNKA	1	CLCNKA	
TMEM72	1	TMEM72	
HAS1	1	HAS1	
HAS3	1	HAS3	
HAS2	1	HAS2	
CEPT1	1	CEPT1	
TMEM62	1	TMEM62	
TMEM64	1	TMEM64	
TMCO3	1	TMCO3	
TMEM26	1	TMEM26	
ANKH	1	ANKH	
PTGDR2	1	PTGDR2	
SLC43A2	1	SLC43A2	
SLC43A3	1	SLC43A3	
SLC43A1	1	SLC43A1	
SLC30A7	1	SLC30A7	
SLC30A6	1	SLC30A6	
SLC30A3	1	SLC30A3	
SLC30A5	1	SLC30A5	
SLC30A4	1	SLC30A4	
CALHM1	1	CALHM1	
CLCN4	1	CLCN4	
GALR3	1	GALR3	
GALR2	1	GALR2	
IFNGR2	1	IFNGR2	
HVCN1	1	HVCN1	
OXTR	1	OXTR	
UTS2R	1	UTS2R	
BRS3	1	BRS3	
DCSTAMP	1	DCSTAMP	
CCKBR	1	CCKBR	
ADIPOR1	1	ADIPOR1	
ADIPOR2	1	ADIPOR2	
SCD	1	SCD	
SCTR	1	SCTR	
MTCH1	1	MTCH1	
PRLHR	1	PRLHR	
CERS3	1	CERS3	
CERS4	1	CERS4	
CERS5	1	CERS5	
CERS6	1	CERS6	
CERS1	1	CERS1	
CERS2	1	CERS2	
SYP	1	SYP	
QRFPR	1	QRFPR	
CWH43	1	CWH43	
AVPR2	1	AVPR2	
STIMATE	1	STIMATE	
GLP1R	1	GLP1R	
GPRC5B	1	GPRC5B	
GPRC5A	1	GPRC5A	
GPRC5D	1	GPRC5D	
GPRC5C	1	GPRC5C	
PROKR1	1	PROKR1	
PROKR2	1	PROKR2	
OXER1	1	OXER1	
SAMM50	1	SAMM50	
TPRA1	1	TPRA1	
TMEM198	1	TMEM198	
CHRFAM7A	1	CHRFAM7A	
SLC2A14	1	SLC2A14	
SLC2A11	1	SLC2A11	
SLC2A10	1	SLC2A10	
SLC2A13	1	SLC2A13	
SLC2A12	1	SLC2A12	
TACR2	1	TACR2	
TACR3	1	TACR3	
TACR1	1	TACR1	
TMEM175	1	TMEM175	
SLCO4A1	1	SLCO4A1	
NPSR1	1	NPSR1	
PLPPR2	1	PLPPR2	
TMEM165	1	TMEM165	
TMEM168	1	TMEM168	
TMEM158	1	TMEM158	
CALCRL	1	CALCRL	
VIPR1	1	VIPR1	
VIPR2	1	VIPR2	
PKD2L2	1	PKD2L2	
UBAC2	1	UBAC2	
TMEM145	1	TMEM145	
TMEM135	1	TMEM135	
TMEM121	1	TMEM121	
TMEM115	1	TMEM115	
TMEM117	1	TMEM117	
TMEM104	1	TMEM104	
MT-CO1	1	MT-CO1	
C3AR1	1	C3AR1	
WLS	1	WLS	
SAMD8	1	SAMD8	
HHAT	1	HHAT	
HHATL	1	HHATL	
MFSD6L	1	MFSD6L	
MFSD2B	1	MFSD2B	
MFSD2A	1	MFSD2A	
MFSD11	1	MFSD11	
MFSD12	1	MFSD12	
MFSD10	1	MFSD10	
LPAR1	1	LPAR1	
LPAR4	1	LPAR4	
LPAR5	1	LPAR5	
MFSD4A	1	MFSD4A	
MFSD4B	1	MFSD4B	
TMEM259	1	TMEM259	
TMEM236	1	TMEM236	
TMEM221	1	TMEM221	
TMEM202	1	TMEM202	
GSG1L	1	GSG1L	
TMEM39A	1	TMEM39A	
TMEM39B	1	TMEM39B	
CATSPER3	1	CATSPER3	
CATSPER2	1	CATSPER2	
P2RY2	1	P2RY2	
P2RX4	1	P2RX4	
RFT1	1	RFT1	
TMC8	1	TMC8	
TMC7	1	TMC7	
TMC4	1	TMC4	
MCOLN3	1	MCOLN3	
MCOLN1	1	MCOLN1	
ZMPSTE24	1	ZMPSTE24	
GPAA1	1	GPAA1	
DPY19L1	1	DPY19L1	
DPY19L2	1	DPY19L2	
DPY19L3	1	DPY19L3	
DPY19L4	1	DPY19L4	
CALCR	1	CALCR	
PARL	1	PARL	
TM9SF4	1	TM9SF4	
TM9SF3	1	TM9SF3	
RHBG	1	RHBG	
TM9SF2	1	TM9SF2	
TM9SF1	1	TM9SF1	
RHCG	1	RHCG	
SERINC1	1	SERINC1	
SERINC3	1	SERINC3	
SERINC2	1	SERINC2	
SERINC5	1	SERINC5	
SERINC4	1	SERINC4	
STEAP3	1	STEAP3	
STEAP4	1	STEAP4	
NPY2R	1	NPY2R	
NPY1R	1	NPY1R	
STEAP1	1	STEAP1	
STEAP2	1	STEAP2	
NPY5R	1	NPY5R	
OPRM1	1	OPRM1	
NPY4R	1	NPY4R	
MAS1L	1	MAS1L	
OPRK1	1	OPRK1	
SLC18A1	1	SLC18A1	
SLC18A2	1	SLC18A2	
SLC18A3	1	SLC18A3	
SLC18B1	1	SLC18B1	
LAPTM4B	1	LAPTM4B	
HM13	1	HM13	
HCRTR2	1	HCRTR2	
HCRTR1	1	HCRTR1	
GRINA	1	GRINA	
COX15	1	COX15	
COX10	1	COX10	
GJD3	1	GJD3	
SLC17A9	1	SLC17A9	
SLC17A5	1	SLC17A5	
SLC17A6	1	SLC17A6	
SLC17A7	1	SLC17A7	
SLC17A8	1	SLC17A8	
SLC17A1	1	SLC17A1	
SLC17A2	1	SLC17A2	
SLC17A3	1	SLC17A3	
SLC17A4	1	SLC17A4	
ZACN	1	ZACN	
TMEM185B	1	TMEM185B	
TMEM185A	1	TMEM185A	
TMEM184A	1	TMEM184A	
TMEM184C	1	TMEM184C	
TMEM184B	1	TMEM184B	
TRAM1L1	1	TRAM1L1	
F2RL1	1	F2RL1	
F2RL2	1	F2RL2	
F2RL3	1	F2RL3	
SLC5A6	1	SLC5A6	
SLC5A7	1	SLC5A7	
SLC5A8	1	SLC5A8	
SLC5A9	1	SLC5A9	
SLC5A1	1	SLC5A1	
SLC5A2	1	SLC5A2	
SLC5A4	1	SLC5A4	
SLC5A5	1	SLC5A5	
SLC29A4	1	SLC29A4	
SLC29A1	1	SLC29A1	
SLC29A3	1	SLC29A3	
SLC29A2	1	SLC29A2	
SLC16A1	1	SLC16A1	
SLC16A6	1	SLC16A6	
SLC16A7	1	SLC16A7	
SLC16A8	1	SLC16A8	
SLC16A9	1	SLC16A9	
SLC16A3	1	SLC16A3	
SLC16A4	1	SLC16A4	
SLC16A5	1	SLC16A5	
POMT2	1	POMT2	
POMT1	1	POMT1	
TMPPE	1	TMPPE	
TRHR	1	TRHR	
SLC6A5	1	SLC6A5	
SLC6A6	1	SLC6A6	
SLC6A7	1	SLC6A7	
SLC6A8	1	SLC6A8	
SLC6A9	1	SLC6A9	
SLC6A1	1	SLC6A1	
SLC6A2	1	SLC6A2	
SLC6A3	1	SLC6A3	
SLC6A4	1	SLC6A4	
SLC28A2	1	SLC28A2	
SLC28A1	1	SLC28A1	
SLC28A3	1	SLC28A3	
SLC15A1	1	SLC15A1	
SLC15A2	1	SLC15A2	
SLC15A3	1	SLC15A3	
SLC15A4	1	SLC15A4	
SLC15A5	1	SLC15A5	
SVOPL	1	SVOPL	
EDNRA	1	EDNRA	
EDNRB	1	EDNRB	
TMEM161B	1	TMEM161B	
TMEM161A	1	TMEM161A	
SLCO3A1	1	SLCO3A1	
CASD1	1	CASD1	
TMEM120A	1	TMEM120A	
GPR89A	1	GPR89A	
GPR89B	1	GPR89B	
TMEM255B	1	TMEM255B	
TMEM255A	1	TMEM255A	
ADORA2A	1	ADORA2A	
UNC93A	1	UNC93A	
SLC35E2B	1	SLC35E2B	
CMKLR1	1	CMKLR1	
TM7SF3	1	TM7SF3	
TM7SF2	1	TM7SF2	
SLCO2A1	1	SLCO2A1	
SLC22A12	1	SLC22A12	
SLC22A13	1	SLC22A13	
SLC22A14	1	SLC22A14	
SLC22A15	1	SLC22A15	
SLC22A16	1	SLC22A16	
SLC22A17	1	SLC22A17	
SLC22A18	1	SLC22A18	
SLC22A10	1	SLC22A10	
SLC22A11	1	SLC22A11	
SLC22A23	1	SLC22A23	
SLC22A24	1	SLC22A24	
SLC22A25	1	SLC22A25	
SLC22A31	1	SLC22A31	
HRH3	1	HRH3	
HRH2	1	HRH2	
HRH4	1	HRH4	
NMUR2	1	NMUR2	
