id,tmp
5CWHA,False
3ILSA,False
4UQXA,False
1KU3A,False
2PN6A,False
5G2UA,False
5UUIA,False
5II8A,False
3NRWA,False
2OMLA,False
2XFRA,False
3ETVA,False
3VORA,False
6RWRA,False
3BJOA,False
5IWZA,False
3Q1CA,False
3FANA,False
6BT1A,False
4WQKA,False
5BMNA,False
2B1YA,False
3S44A,False
5GZAA,False
4HR3A,False
3VGLA,False
1P4TA,False
1TP6A,False
4KV7A,False
2UYOA,False
4LYAA,False
3D30A,False
2FVVA,False
4XYWA,False
6QVHA,False
6I18A,False
6GHTA,False
3K8UA,False
3U2GA,False
2ILKA,False
1GKMA,False
5VJWA,False
3O8MA,False
3M4RA,False
1GCYA,False
5JNMA,False
3FD3A,False
4NWBA,False
4MBOA,False
4QTCA,False
5HQHA,False
6BO0A,False
2J66A,False
5TF2A,False
2RA1A,False
2WI8A,False
3BT4A,False
5HLJA,False
1UCDA,False
4CHEA,False
1S2OA,False
4LXHA,False
6A15A,False
5ZBFA,False
4XTLA,True
5FO5A,False
5ED7A,False
1I24A,False
4QSGA,False
5ZBYA,False
4OXXA,False
5KVBA,False
4F0WA,False
2AXOA,False
5MULA,False
3CA7A,False
2WJRA,False
3B7HA,False
5TF3A,False
5LOSA,False
3DXYA,False
2P6WA,False
6HTLA,False
2Q4MA,False
5B5XA,False
1TQGA,False
3TG7A,False
3RWXA,False
4YARA,False
2PFZA,False
4WBDA,False
6FF1A,False
3LHCA,False
1SR8A,False
3CANA,False
4DB5A,False
5TNVA,False
4U9VB,False
4IFAA,False
6O1BA,False
3CS1A,False
2B0VA,False
4JOXA,False
1II5A,False
2AMHA,False
1X8QA,False
4MI7A,False
5CZGA,False
2OVJA,False
4REKA,False
3O3YA,False
3QECA,False
3HZ6A,False
4NTDA,False
4GT8A,False
2EFKA,False
5HCNA,False
5DJHA,False
6H57A,False
6FNWA,False
1EOKA,False
1R4XA,False
3L8WA,False
1PSWA,False
4PHRA,False
5EJOA,False
4ZBLA,False
5B3PA,False
3R87A,False
6JDPA,False
1YLEA,False
3D40A,False
4M51A,False
4H3TA,False
5JDAA,False
4O5AA,False
3I45A,False
3HNRA,False
2NMLA,False
3L4EA,False
3JS8A,False
3S9JA,False
4N5XA,False
1WWIA,False
5CJZA,False
6B3VA,False
1JM1A,False
2X9KA,False
6DCEA,False
5H7EA,False
5I0FB,False
3E99A,False
5I0CA,False
1V70A,False
5IHWA,False
2HY7A,False
3I9YA,False
4HZOA,False
5ITQA,False
4IC9A,False
6AO7A,False
3PIDA,False
5G38A,False
4XQ7A,False
4P7XA,False
1IQZA,False
3FNDA,False
6QFQA,False
3UH8A,False
5FAAA,False
6GI4B,False
5Z3EA,False
3U2RA,False
4NFAA,False
5B5LA,False
1G5AA,False
3QOOA,False
1R6JA,False
1WVHA,False
1LU4A,False
2NRJA,False
6HPOA,False
2E5AA,False
1R5MA,False
6H1HA,False
4FCGA,False
3AHCA,False
1SUMB,False
3NPDA,False
5BY5A,False
1W99A,False
4B4CA,False
3DXPA,False
2RHFA,False
6NIOA,False
3JU3A,False
2CW9A,False
3OIOA,False
4FTDA,False
4RL1A,False
1GS5A,False
5TT5A,False
5VXVA,False
2WAOA,False
6OR2A,True
2FE1A,False
4OV4A,False
1V2ZA,False
4DWEA,False
4XT6A,False
5JH8A,False
1VAJA,False
3K69A,False
4QY7A,False
5X4KA,False
3KSRA,False
1YG9A,False
4RLCA,False
3PSHA,False
6DETA,False
6FSNA,False
1XHDA,False
2VQ2A,False
3CKJA,False
6JMFA,False
3B7CA,False
1JUVA,False
4KK7A,False
4M0MA,False
4O4FA,False
2OB5A,False
3G7QA,False
6OBTA,False
3LWCA,False
3MQDA,False
3GY9A,False
5YZPA,False
3JUIA,False
2FGTA,False
6CC2A,False
3VUBA,False
2AU5A,False
2DP9A,False
3D06A,False
2AYDA,False
4ANNA,False
5YM0A,False
4EFIA,False
1VK6A,False
6QP0A,False
1SZ7A,False
4QVSA,False
1H30A,False
3F3BA,False
4WERA,False
5DKXA,False
4C5WA,False
2W3QA,False
4BK7A,False
5MX9A,False
5XMZA,False
5UVDA,False
5HDWA,False
4EV1A,False
6BARA,True
5A6MA,False
3H79A,False
1MK0A,False
6MJ7A,False
5HYAA,True
6DSIA,False
3TTCA,False
6S2LA,False
1GSAA,False
1G2RA,False
3MF7A,False
2HRZA,False
4I71A,False
4PZ0A,False
