NAME	# MATCHING PROBE SETS	MATCHING PROBE SET(S)	
SLC8B1	1	SLC8B1	
SLC24A4	1	SLC24A4	
CDH18	1	CDH18	
CCPG1	1	CCPG1	
PECAM1	1	PECAM1	
TMEM117	1	TMEM117	
SLC9A8	1	SLC9A8	
SV2C	1	SV2C	
HAP1	1	HAP1	
SLCO6A1	1	SLCO6A1	
ANKH	1	ANKH	
UNC93B1	1	UNC93B1	
ABCB7	1	ABCB7	
ZNF710	1	ZNF710	
USHBP1	1	USHBP1	
KIRREL3	1	KIRREL3	
LMBR1L	1	LMBR1L	
LRCH1	1	LRCH1	
PIGW	1	PIGW	
TRPV5	1	TRPV5	
SLC26A6	1	SLC26A6	
GPR50	1	GPR50	
SLC5A12	1	SLC5A12	
ZBBX	1	ZBBX	
ANO10	1	ANO10	
SLC6A18	1	SLC6A18	
OCLN	1	OCLN	
SLC26A4	1	SLC26A4	
STIM2	1	STIM2	
SPNS2	1	SPNS2	
SLC11A2	1	SLC11A2	
SLC15A4	1	SLC15A4	
ZDHHC17	1	ZDHHC17	
MFSD13A	1	MFSD13A	
DCBLD2	1	DCBLD2	
CEP89	1	CEP89	
SLC2A13	1	SLC2A13	
BFSP1	1	BFSP1	
MT-CO1	1	MT-CO1	
GJA9	1	GJA9	
SLC15A3	1	SLC15A3	
ALG8	1	ALG8	
LRRC4	1	LRRC4	
JADE2	1	JADE2	
KIRREL1	1	KIRREL1	
KCND2	1	KCND2	
TAPT1	1	TAPT1	
PTH2R	1	PTH2R	
PCDHB10	1	PCDHB10	
SLC6A20	1	SLC6A20	
PIGB	1	PIGB	
TMEM201	1	TMEM201	
CNGA2	1	CNGA2	
GPR75	1	GPR75	
SLC7A1	1	SLC7A1	
SVOP	1	SVOP	
ZBTB39	1	ZBTB39	
SUN2	1	SUN2	
ABCB8	1	ABCB8	
CHRM3	1	CHRM3	
ADGRF4	1	ADGRF4	
MISP	1	MISP	
SLC43A2	1	SLC43A2	
KAZN	1	KAZN	
ADGRG1	1	ADGRG1	
LMBR1	1	LMBR1	
SLC7A7	1	SLC7A7	
COLEC12	1	COLEC12	
ABCD2	1	ABCD2	
SLC23A1	1	SLC23A1	
MBTPS2	1	MBTPS2	
CLPTM1L	1	CLPTM1L	
OTOP2	1	OTOP2	
SLC7A8	1	SLC7A8	
GLIS3	1	GLIS3	
DCSTAMP	1	DCSTAMP	
SLC49A3	1	SLC49A3	
GABRA4	1	GABRA4	
FSHR	1	FSHR	
MFSD2A	1	MFSD2A	
SLC1A5	1	SLC1A5	
ZNF526	1	ZNF526	
SLC7A5	1	SLC7A5	
GOLGA5	1	GOLGA5	
MCOLN1	1	MCOLN1	
CEP63	1	CEP63	
LRP3	1	LRP3	
SLC35F5	1	SLC35F5	
RETREG3	1	RETREG3	
KCNC2	1	KCNC2	
TM9SF1	1	TM9SF1	
ABCB10	1	ABCB10	
CFAP100	1	CFAP100	
CNGA3	1	CNGA3	
ADGRA1	1	ADGRA1	
GPR162	1	GPR162	
SLC13A1	1	SLC13A1	
SIX5	1	SIX5	
BBOF1	1	BBOF1	
FLVCR2	1	FLVCR2	
IL10RA	1	IL10RA	
FCHSD2	1	FCHSD2	
SCNN1G	1	SCNN1G	
SLC33A1	1	SLC33A1	
KAT14	1	KAT14	
TMEM260	1	TMEM260	
TSHR	1	TSHR	
GPR108	1	GPR108	
PIGR	1	PIGR	
SLC13A3	1	SLC13A3	
SCNN1B	1	SCNN1B	
ALG6	1	ALG6	
OCSTAMP	1	OCSTAMP	
PTDSS2	1	PTDSS2	
TLE2	1	TLE2	
SLC11A1	1	SLC11A1	
JPH1	1	JPH1	
RNF26	1	RNF26	
NBN	1	NBN	
HAS1	1	HAS1	
PIBF1	1	PIBF1	
HPS4	1	HPS4	
KCNC4	1	KCNC4	
SCNN1A	1	SCNN1A	
ALG10	1	ALG10	
LRRN4	1	LRRN4	
FAM178B	1	FAM178B	
CNNM3	1	CNNM3	
RNF207	1	RNF207	
ALG10B	1	ALG10B	
GPR101	1	GPR101	
TRIM67	1	TRIM67	
DNER	1	DNER	
TTYH2	1	TTYH2	
PHF21A	1	PHF21A	
SLC39A5	1	SLC39A5	
SLC13A4	1	SLC13A4	
SPDL1	1	SPDL1	
ISLR2	1	ISLR2	
GPR37	1	GPR37	
PCDHB6	1	PCDHB6	
PIGZ	1	PIGZ	
ANKRD6	1	ANKRD6	
LRCH4	1	LRCH4	
PCDHB5	1	PCDHB5	
SLC13A5	1	SLC13A5	
PCDHB13	1	PCDHB13	
SLC24A3	1	SLC24A3	
ADGRL4	1	ADGRL4	
NCAPH2	1	NCAPH2	
SLC22A15	1	SLC22A15	
NOX5	1	NOX5	
HIC1	1	HIC1	
RFT1	1	RFT1	
IL27RA	1	IL27RA	
TMEM151B	1	TMEM151B	
KCNJ3	1	KCNJ3	
SLC38A2	1	SLC38A2	
ADAM30	1	ADAM30	
PRDM8	1	PRDM8	
LILRB1	1	LILRB1	
ABCD3	1	ABCD3	
SLC49A4	1	SLC49A4	
ZBTB16	1	ZBTB16	
SLC19A2	1	SLC19A2	
KRT76	1	KRT76	
STIM1	1	STIM1	
SLC40A1	1	SLC40A1	
TMEM62	1	TMEM62	
ZDHHC14	1	ZDHHC14	
GRAMD1C	1	GRAMD1C	
SLC18A1	1	SLC18A1	
SERINC4	1	SERINC4	
SLC38A4	1	SLC38A4	
LMF1	1	LMF1	
GPR137C	1	GPR137C	
SLC32A1	1	SLC32A1	
HHAT	1	HHAT	
SPIRE2	1	SPIRE2	
FBLN1	1	FBLN1	
SLC38A9	1	SLC38A9	
DEUP1	1	DEUP1	
PCDHB9	1	PCDHB9	
MFSD6L	1	MFSD6L	
PIGV	1	PIGV	
IFNAR2	1	IFNAR2	
POU2F1	1	POU2F1	
FZD9	1	FZD9	
NECTIN3	1	NECTIN3	
ZNF148	1	ZNF148	
CFAP157	1	CFAP157	
CWH43	1	CWH43	
CCDC13	1	CCDC13	
ARHGAP24	1	ARHGAP24	
SPPL2B	1	SPPL2B	
RAVER2	1	RAVER2	
ADD2	1	ADD2	
PCDHB3	2	PCDHB2:PCDHB3	
BRF1	1	BRF1	
SLC17A6	1	SLC17A6	
GPR89A	1	GPR89A	
GPR89B	1	GPR89B	
SLC39A12	1	SLC39A12	
TBC1D5	1	TBC1D5	
EPB41L5	1	EPB41L5	
CHRNA3	1	CHRNA3	
LRIF1	1	LRIF1	
TM7SF3	1	TM7SF3	
SLC7A10	1	SLC7A10	
SLC9B2	1	SLC9B2	
SLC43A1	1	SLC43A1	
SV2B	1	SV2B	
SLC22A1	1	SLC22A1	
WASHC1	1	WASHC1	
ADAM20	1	ADAM20	
PCDHB14	1	PCDHB14	
SOX30	1	SOX30	
ASIC4	1	ASIC4	
TTYH3	1	TTYH3	
CATSPERD	1	CATSPERD	
DGAT1	1	DGAT1	
DCBLD1	1	DCBLD1	
LRFN5	1	LRFN5	
SOAT2	1	SOAT2	
SLC34A3	1	SLC34A3	
FCRL3	1	FCRL3	
AFAP1L1	1	AFAP1L1	
IQCE	1	IQCE	
SLC19A3	1	SLC19A3	
SLC13A2	1	SLC13A2	
PCDHB11	1	PCDHB11	
KCNA3	1	KCNA3	
FZD5	1	FZD5	
SPG7	1	SPG7	
PIGU	1	PIGU	
PCDHB4	1	PCDHB4	
LHCGR	1	LHCGR	
SLC22A4	1	SLC22A4	
DHCR7	1	DHCR7	
CALCRL	1	CALCRL	
MCOLN3	1	MCOLN3	
FBXO30	1	FBXO30	
SLC2A12	1	SLC2A12	
KRT84	1	KRT84	
MINDY4	1	MINDY4	
ELN	1	ELN	
GCC1	1	GCC1	
GPR161	1	GPR161	
GPRC5C	1	GPRC5C	
SLC22A14	1	SLC22A14	
PCDHB12	1	PCDHB12	
GPR37L1	1	GPR37L1	
RYK	1	RYK	
ADGRF2	1	ADGRF2	
KCNA5	1	KCNA5	
LRRC4B	1	LRRC4B	
ADGRE3	1	ADGRE3	
ZMPSTE24	1	ZMPSTE24	
SLC38A6	1	SLC38A6	
FAM47A	1	FAM47A	
SLC37A2	1	SLC37A2	
SPNS3	1	SPNS3	
SLC17A8	1	SLC17A8	
CDS1	1	CDS1	
ADD3	1	ADD3	
SLC18A2	1	SLC18A2	
SLC7A6	1	SLC7A6	
SLC37A3	1	SLC37A3	
KRT77	1	KRT77	
CD6	1	CD6	
SIX4	1	SIX4	
GIT1	1	GIT1	
SLC22A16	1	SLC22A16	
SEC63	1	SEC63	
C2CD2L	1	C2CD2L	
ZNF853	1	ZNF853	
CCDC30	1	CCDC30	
SLC22A5	1	SLC22A5	
SLC41A2	1	SLC41A2	
C10orf67	1	C10orf67	
KRT82	1	KRT82	
SLC36A2	1	SLC36A2	
IL23R	1	IL23R	
SLC29A4	1	SLC29A4	
TMEM161B	1	TMEM161B	
SLC18A3	1	SLC18A3	
ZNF280C	1	ZNF280C	
SLC45A3	1	SLC45A3	
SLC23A3	1	SLC23A3	
SLC36A3	1	SLC36A3	
INAVA	1	INAVA	
OBI1	1	OBI1	
XKRX	1	XKRX	
ARHGAP22	1	ARHGAP22	
PCDHB7	1	PCDHB7	
CEP85	1	CEP85	
BOP1	1	BOP1	
BARD1	1	BARD1	
SLC30A6	1	SLC30A6	
UBAP1	1	UBAP1	
GLP2R	1	GLP2R	
TOX4	1	TOX4	
PWWP3A	1	PWWP3A	
TRIM55	1	TRIM55	
ZNF366	1	ZNF366	
TCF7L2	1	TCF7L2	
SPPL2A	1	SPPL2A	
TMEM39B	1	TMEM39B	
CDS2	1	CDS2	
VANGL1	1	VANGL1	
STRN3	1	STRN3	
TMEM145	1	TMEM145	
KRT73	1	KRT73	
LY9	1	LY9	
BEND2	1	BEND2	
SLC39A4	1	SLC39A4	
FSD2	1	FSD2	
SATB1	1	SATB1	
CALCOCO1	1	CALCOCO1	
CCDC62	1	CCDC62	
PSEN1	1	PSEN1	
PSEN2	1	PSEN2	
KCNK10	1	KCNK10	
PTDSS1	1	PTDSS1	
GABRB2	1	GABRB2	
PPP1R21	1	PPP1R21	
SLC7A11	1	SLC7A11	
SLC7A9	1	SLC7A9	
CSRNP1	1	CSRNP1	
NPFFR2	1	NPFFR2	
SYTL4	1	SYTL4	
IFNGR1	1	IFNGR1	
ABLIM2	1	ABLIM2	
IL12RB1	1	IL12RB1	
MFSD14B	1	MFSD14B	
GPR152	1	GPR152	
ADRA2C	1	ADRA2C	
GPR135	1	GPR135	
BAHD1	1	BAHD1	
TLE1	1	TLE1	
SLC22A3	1	SLC22A3	
GPRC5B	1	GPRC5B	
BRAF	1	BRAF	
ASPH	1	ASPH	
LPCAT3	1	LPCAT3	
SLC36A1	1	SLC36A1	
NTRK1	1	NTRK1	
CNGA1	1	CNGA1	
ABCD4	1	ABCD4	
APBA2	1	APBA2	
SPNS1	1	SPNS1	
STRN	1	STRN	
MFSD8	1	MFSD8	
ARNTL2	1	ARNTL2	
SLC22A2	1	SLC22A2	
HECA	1	HECA	
DPAGT1	1	DPAGT1	
SCARA3	1	SCARA3	
IMMT	1	IMMT	
SLC1A7	1	SLC1A7	
GATA6	1	GATA6	
CCDC65	1	CCDC65	
INA	1	INA	
FZD1	1	FZD1	
MFSD1	1	MFSD1	
ATRIP	1	ATRIP	
SIK1	1	SIK1	
TMEM104	1	TMEM104	
QSOX1	1	QSOX1	
CHRM5	1	CHRM5	
TCTN2	1	TCTN2	
SLC9B1	1	SLC9B1	
SLC38A3	1	SLC38A3	
SLC41A1	1	SLC41A1	
SLC10A4	1	SLC10A4	
KLHDC7A	1	KLHDC7A	
SHISA6	1	SHISA6	
MEFV	1	MEFV	
SLC1A6	1	SLC1A6	
SIK1B	1	SIK1B	
SLC37A1	1	SLC37A1	
SERINC2	1	SERINC2	
GRAMD4	1	GRAMD4	
OPN4	1	OPN4	
KCNN1	1	KCNN1	
RNFT1	1	RNFT1	
SLC1A2	1	SLC1A2	
GJA8	1	GJA8	
NEMP2	1	NEMP2	
EDNRB	1	EDNRB	
STRN4	1	STRN4	
ADAM32	1	ADAM32	
SLC1A3	1	SLC1A3	
AOC3	1	AOC3	
GDPD5	1	GDPD5	
TAGAP	1	TAGAP	
RNF157	1	RNF157	
SLC16A5	1	SLC16A5	
SLC38A1	1	SLC38A1	
CHRNA2	1	CHRNA2	
RHCG	1	RHCG	
LILRB3	1	LILRB3	
LRIT3	1	LRIT3	
FCHSD1	1	FCHSD1	
ZDHHC1	1	ZDHHC1	
SLC22A13	1	SLC22A13	
XK	1	XK	
RTN2	1	RTN2	
MTA1	1	MTA1	
KRT74	1	KRT74	
RXFP3	1	RXFP3	
ABCG1	1	ABCG1	
ST7	1	ST7	
SLC41A3	1	SLC41A3	
DDX27	1	DDX27	
PSPC1	1	PSPC1	
SLC22A12	1	SLC22A12	
GPAA1	1	GPAA1	
SLC6A12	1	SLC6A12	
TRIM42	1	TRIM42	
CD93	1	CD93	
GABRB3	1	GABRB3	
PATZ1	1	PATZ1	
SLC46A3	1	SLC46A3	
ATF6B	1	ATF6B	
BAIAP2L2	1	BAIAP2L2	
BEST1	1	BEST1	
TMEM175	1	TMEM175	
ZBTB48	1	ZBTB48	
ZXDA	1	ZXDA	
SLC36A4	1	SLC36A4	
TAX1BP1	1	TAX1BP1	
TRAPPC12	1	TRAPPC12	
TMEM64	1	TMEM64	
MFSD14A	1	MFSD14A	
SLC22A31	1	SLC22A31	
TMEM161A	1	TMEM161A	
SLC17A7	1	SLC17A7	
BTBD18	1	BTBD18	
GZF1	1	GZF1	
SLC22A9	1	SLC22A9	
DZANK1	1	DZANK1	
GOLGA6A	1	GOLGA6A	
LINS1	1	LINS1	
TEX13D	1	TEX13D	
RNFT2	1	RNFT2	
SLC26A10	1	SLC26A10	
HHATL	1	HHATL	
CCDC148	1	CCDC148	
BEST2	1	BEST2	
GJC2	1	GJC2	
MBOAT1	1	MBOAT1	
FZD7	1	FZD7	
SYTL5	1	SYTL5	
DGCR8	1	DGCR8	
CHRNA6	1	CHRNA6	
MARK2	1	MARK2	
GABRE	1	GABRE	
OSBPL9	1	OSBPL9	
ZBTB47	1	ZBTB47	
SGPP1	1	SGPP1	
HTR3A	1	HTR3A	
HSF2	1	HSF2	
CATSPER4	1	CATSPER4	
MCOLN2	1	MCOLN2	
DENND1B	1	DENND1B	
MARK1	1	MARK1	
SDCCAG8	1	SDCCAG8	
KRT5	1	KRT5	
GABRR1	1	GABRR1	
NOX3	1	NOX3	
SLC7A13	1	SLC7A13	
IRF2BP1	1	IRF2BP1	
GOLGA6B	1	GOLGA6B	
IFFO1	1	IFFO1	
SLC35F4	1	SLC35F4	
RAP1GAP2	1	RAP1GAP2	
POU6F2	1	POU6F2	
ZBTB20	1	ZBTB20	
MAG	1	MAG	
PNMA6F	1	PNMA6F	
MFSD4B	1	MFSD4B	
IL1RAPL2	1	IL1RAPL2	
LILRB2	1	LILRB2	
GOLGA1	1	GOLGA1	
KIRREL2	1	KIRREL2	
CCDC6	1	CCDC6	
KRT1	1	KRT1	
DLL4	1	DLL4	
SVOPL	1	SVOPL	
PRLR	1	PRLR	
SUPT20H	1	SUPT20H	
GPR63	1	GPR63	
FZD10	1	FZD10	
DTNA	1	DTNA	
SLC17A5	1	SLC17A5	
SLC16A6	1	SLC16A6	
SEC61A2	1	SEC61A2	
SLC16A10	1	SLC16A10	
GDPD2	1	GDPD2	
SLC1A4	1	SLC1A4	
MBOAT2	1	MBOAT2	
SLC17A1	1	SLC17A1	
BANK1	1	BANK1	
HRH1	1	HRH1	
HAS2	1	HAS2	
SLC17A4	1	SLC17A4	
ZNF654	1	ZNF654	
NRXN3	1	NRXN3	
CNGA4	1	CNGA4	
MTF1	1	MTF1	
TNIP1	1	TNIP1	
ITGB5	1	ITGB5	
ZNF770	1	ZNF770	
MFSD12	1	MFSD12	
PRDM13	1	PRDM13	
TEX28	1	TEX28	
NIPAL3	1	NIPAL3	
ST6GALNAC1	1	ST6GALNAC1	
CEP72	1	CEP72	
IFI16	1	IFI16	
SLC30A4	1	SLC30A4	
SAMD11	1	SAMD11	
CHRNB2	1	CHRNB2	
SLC35E1	1	SLC35E1	
LRRC4C	1	LRRC4C	
ELL2	1	ELL2	
SEC61A1	1	SEC61A1	
DVL1	1	DVL1	
COP1	1	COP1	
GLIS1	1	GLIS1	
OPTN	1	OPTN	
SLC16A14	1	SLC16A14	
LZTS1	1	LZTS1	
GCFC2	1	GCFC2	
OLFML2B	1	OLFML2B	
USP10	1	USP10	
SLC22A25	1	SLC22A25	
OSBPL10	1	OSBPL10	
TLE3	1	TLE3	
PCDHB15	1	PCDHB15	
ENTHD1	1	ENTHD1	
KIF3C	1	KIF3C	
EMILIN3	1	EMILIN3	
RIN1	1	RIN1	
CCDC175	1	CCDC175	
NEDD1	1	NEDD1	
CHRNG	1	CHRNG	
MFSD2B	1	MFSD2B	
ALG12	1	ALG12	
MAP3K20	1	MAP3K20	
SLC2A2	1	SLC2A2	
DAGLB	1	DAGLB	
NCAPH	1	NCAPH	
SLC16A2	1	SLC16A2	
KCNA6	1	KCNA6	
IMPG1	1	IMPG1	
ADAM21	1	ADAM21	
GLP1R	1	GLP1R	
NCKIPSD	1	NCKIPSD	
KCNV1	1	KCNV1	
ESS2	1	ESS2	
PORCN	1	PORCN	
DEAF1	1	DEAF1	
C1orf127	1	C1orf127	
IRAK1	1	IRAK1	
IQUB	1	IQUB	
VASN	1	VASN	
CALCR	1	CALCR	
RANBP9	1	RANBP9	
GPR160	1	GPR160	
BSCL2	1	BSCL2	
FNBP1	1	FNBP1	
SLC1A1	1	SLC1A1	
CHRM2	1	CHRM2	
GOLGA6D	1	GOLGA6D	
DRD5	1	DRD5	
BBS10	1	BBS10	
UNKL	1	UNKL	
IKZF3	1	IKZF3	
FRMD3	1	FRMD3	
SEMA4A	1	SEMA4A	
MFSD9	1	MFSD9	
PTGER4	1	PTGER4	
CREB3L1	1	CREB3L1	
GLRB	1	GLRB	
SLC2A5	1	SLC2A5	
ZNF74	1	ZNF74	
HSF1	1	HSF1	
SLC2A14	1	SLC2A14	
GOLGA6C	1	GOLGA6C	
SLC38A5	1	SLC38A5	
ARHGAP10	1	ARHGAP10	
ADGRG5	1	ADGRG5	
SLC52A3	1	SLC52A3	
PANX1	1	PANX1	
OXTR	1	OXTR	
XKR8	1	XKR8	
LETM1	1	LETM1	
CFAP45	1	CFAP45	
ADAM28	1	ADAM28	
SLC18B1	1	SLC18B1	
IL31RA	1	IL31RA	
NEFL	1	NEFL	
ZNF749	1	ZNF749	
PIGM	1	PIGM	
TMEM44	1	TMEM44	
SLC30A1	1	SLC30A1	
ABCG5	1	ABCG5	
SUSD4	1	SUSD4	
AHRR	1	AHRR	
CHRM4	1	CHRM4	
CUX1	1	CUX1	
KRT10	1	KRT10	
ADAM7	1	ADAM7	
SLC35F3	1	SLC35F3	
EPS8L1	1	EPS8L1	
GABRB1	1	GABRB1	
AFG3L2	1	AFG3L2	
RIOX1	1	RIOX1	
IL17RD	1	IL17RD	
KRT6C	1	KRT6C	
LONRF3	1	LONRF3	
KRT85	1	KRT85	
SLC22A6	1	SLC22A6	
SLC38A8	1	SLC38A8	
NOP53	1	NOP53	
SLC22A11	1	SLC22A11	
RNF220	1	RNF220	
KCNS1	1	KCNS1	
TACR3	1	TACR3	
BMPR1A	1	BMPR1A	
SMPD3	1	SMPD3	
KRT12	1	KRT12	
ZNF579	1	ZNF579	
SATB2	1	SATB2	
SHC2	1	SHC2	
F2R	1	F2R	
TRIM46	1	TRIM46	
MFN2	1	MFN2	
MFSD4A	1	MFSD4A	
VSIG10	1	VSIG10	
HCRTR2	1	HCRTR2	
HAS3	1	HAS3	
DTHD1	1	DTHD1	
FAM8A1	1	FAM8A1	
ITGB8	1	ITGB8	
SLC43A3	1	SLC43A3	
PCDHB16	1	PCDHB16	
PIAS2	1	PIAS2	
UVSSA	1	UVSSA	
SLC38A7	1	SLC38A7	
ADRA1B	1	ADRA1B	
ZDHHC11	1	ZDHHC11	
